Rk,Player,Age,Team,Lg,WAR,AB,R,H,2B,3B,HR,RBI,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Player-additional
521,Ryan Noda*,29,BAL,AL,0,13,0,2,0,0,0,1,6,0.154,0.214,0.154,0.368,7,0.156,-37,2,/9HD,nodary01
522,Sam Huff,27,SFG,NL,-0.2,53,5,11,1,0,2,4,25,0.208,0.259,0.34,0.598,70,0.264,67,18,2,huffsa01
523,Sal Stewart,21,CIN,NL,0.5,55,11,14,1,0,5,8,15,0.255,0.293,0.545,0.839,121,0.351,115,30,3/5H,stewasa02
524,Endy Rodríguez#,25,PIT,NL,-0.5,52,5,9,4,0,0,2,14,0.173,0.246,0.25,0.496,39,0.219,35,13,3/2H,rodrien01
525,Tyler Tolbert,27,KCR,AL,0.2,50,19,14,2,0,1,6,11,0.28,0.321,0.38,0.701,96,0.392,105,19,H87/4695D,tolbety01
526,Daniel Johnson*,29,2TM,2LG,0.3,53,13,10,3,0,1,1,13,0.189,0.246,0.302,0.548,55,0.256,61,16,H9/87,johnsda07
526,Daniel Johnson*,29,SFG,NL,0.2,29,5,5,2,0,1,1,8,0.172,0.226,0.345,0.571,61,0.257,57,10,/H897,johnsda07
526,Daniel Johnson*,29,BAL,AL,0.1,24,8,5,1,0,0,0,5,0.208,0.269,0.25,0.519,49,0.255,66,6,/H798,johnsda07
527,Jerar Encarnación,27,SFG,NL,0,55,5,11,3,0,2,7,15,0.2,0.214,0.364,0.578,62,0.251,55,20,9/H73,encarje01
528,Zack Short,30,HOU,AL,0,50,9,11,2,0,2,7,18,0.22,0.291,0.38,0.671,85,0.278,78,19,6/HD,shortza01
529,Stuart Fairchild,29,ATL,NL,-0.3,51,7,11,4,1,0,2,15,0.216,0.273,0.333,0.606,70,0.281,76,17,9H/D78,faircst01
530,Jace Jung*,24,DET,AL,-0.5,47,8,5,0,0,0,3,16,0.106,0.236,0.106,0.343,1,0.181,1,5,5/H,jungja01
531,Drew Millas#,27,WSN,NL,0.2,49,6,15,5,1,0,7,7,0.306,0.358,0.449,0.807,129,0.357,126,22,2/DH,milladr01
532,Luke Maile,34,KCR,AL,0,45,6,11,2,0,1,6,16,0.244,0.346,0.356,0.702,98,0.318,99,16,2/H1,mailelu01
533,Ryan Fitzgerald*,31,MIN,AL,0.2,46,10,9,0,0,4,9,8,0.196,0.302,0.457,0.758,106,0.331,105,21,/46H513D,fitzgry01
534,Luis Vázquez,25,BAL,AL,-0.5,50,6,8,1,0,1,3,14,0.16,0.208,0.24,0.448,27,0.206,17,12,56/H143D,vazqulu01
535,Zach Cole*,24,HOU,AL,0.6,47,9,12,2,0,4,11,20,0.255,0.327,0.553,0.88,139,0.382,137,26,/798H,coleza01
536,Bryan De La Cruz,28,ATL,NL,-0.2,47,1,9,1,0,0,0,18,0.191,0.24,0.213,0.453,30,0.232,37,10,7/H9D,delacbr01
537,Travis Jankowski*,34,3TM,2LG,-0.3,45,8,11,2,0,0,2,12,0.244,0.286,0.289,0.575,62,0.26,53,13,9H/781D,jankotr01
537,Travis Jankowski*,34,2TM,AL,-0.3,45,7,11,2,0,0,2,12,0.244,0.286,0.289,0.575,62,0.26,53,13,9/H78,jankotr01
537,Travis Jankowski*,34,CHW,AL,-0.2,14,1,3,0,0,0,0,3,0.214,0.267,0.214,0.481,38,0.217,29,3,/9H8,jankotr01
537,Travis Jankowski*,34,TBR,AL,0,31,6,8,2,0,0,2,9,0.258,0.294,0.323,0.617,73,0.279,64,10,/97H,jankotr01
537,Travis Jankowski*,34,NYM,NL,0,0,1,0,0,0,0,0,0,,,,,,,,0,/H179D,jankotr01
538,Richie Palacios*,28,TBR,AL,0,42,10,14,2,0,1,3,9,0.333,0.396,0.452,0.848,138,0.389,140,19,/473DH9,palacri01
539,George Valera*,24,CLE,AL,-0.1,41,7,9,2,0,2,5,13,0.22,0.333,0.415,0.748,107,0.328,108,17,D/9H,valerge01
540,Maverick Handley,27,BAL,AL,-0.9,41,2,3,0,0,0,3,18,0.073,0.133,0.073,0.207,-39,0.103,-59,3,2/H,handlma01
541,Brice Matthews,23,HOU,AL,0.2,42,6,7,0,0,4,9,20,0.167,0.222,0.452,0.675,81,0.306,87,19,4/H5,matthbr01
542,Jared Young*,29,NYM,NL,0.1,43,5,8,1,0,4,6,16,0.186,0.234,0.488,0.722,99,0.302,92,21,D/H137,youngja02
543,Logan Davidson#,27,2TM,AL,-0.6,42,3,7,2,0,1,4,22,0.167,0.222,0.286,0.508,40,0.218,24,12,3/H514,davidlo01
543,Logan Davidson#,27,ATH,AL,-0.3,20,1,3,1,0,0,2,12,0.15,0.261,0.2,0.461,32,0.216,23,4,/35H4,davidlo01
543,Logan Davidson#,27,LAA,AL,-0.3,22,2,4,1,0,1,2,10,0.182,0.182,0.364,0.545,46,0.22,26,8,/3H1,davidlo01
544,Jimmy Crooks*,23,STL,NL,-0.3,45,3,6,0,1,1,1,17,0.133,0.152,0.244,0.397,10,0.19,12,11,2/DH,crookji01
545,Austin Barnes,35,LAD,NL,-0.3,42,4,9,3,0,0,2,14,0.214,0.233,0.286,0.518,45,0.227,34,12,2/3DH,barneau01
546,Rece Hinds,24,CIN,NL,-0.4,43,6,5,1,0,2,3,21,0.116,0.136,0.279,0.415,9,0.175,-9,12,9/H,hindsre01
547,Ryan Kreidler,27,DET,AL,-0.2,38,5,4,0,0,0,0,19,0.105,0.19,0.105,0.296,-14,0.162,-27,4,8,kreidry01
548,Trenton Brooks*,29,SDP,NL,-0.5,41,5,6,2,0,1,2,13,0.146,0.186,0.268,0.454,24,0.198,13,11,HD/7,brooktr01
549,Denzer Guzmán,21,LAA,AL,-0.4,42,4,8,1,0,2,3,22,0.19,0.209,0.357,0.566,54,0.24,43,15,6,guzmade01
550,Dustin Harris*,25,TEX,AL,0.2,40,5,8,3,0,1,2,13,0.2,0.256,0.35,0.606,77,0.258,76,14,/7H89D,harridu01
551,Kevin Pillar,36,TEX,AL,-0.1,43,6,9,2,0,0,1,8,0.209,0.209,0.256,0.465,37,0.213,26,11,/8H9D7,pillake01
552,Alan Trejo,29,COL,NL,-0.4,40,3,7,2,0,0,1,7,0.175,0.19,0.225,0.415,11,0.183,-9,9,6/1,trejoal01
553,Daz Cameron,28,MIL,NL,-0.5,41,7,8,1,0,1,3,13,0.195,0.214,0.293,0.507,40,0.229,32,12,9H/7,camerda01
554,Matt Gorski,27,PIT,NL,-0.3,41,2,8,0,1,2,4,16,0.195,0.214,0.39,0.605,64,0.241,52,16,3/H87,gorskma01
555,Luken Baker,28,STL,NL,-0.1,34,3,8,3,0,0,2,10,0.235,0.366,0.324,0.689,98,0.318,102,11,DH/3,bakerlu01
556,Kris Bryant,33,COL,NL,-0.5,39,2,6,2,0,0,1,13,0.154,0.195,0.205,0.4,7,0.183,-7,8,D/H,bryankr01
557,Oliver Dunn*,27,MIL,NL,-0.2,36,4,6,2,0,0,6,11,0.167,0.205,0.222,0.427,20,0.196,4,8,5/3H,dunnol01
558,Austin Nola,35,COL,NL,-0.2,38,2,7,1,0,0,1,5,0.184,0.225,0.211,0.436,18,0.199,2,8,2/13DH,nolaau01
559,Yuli Gurriel,41,SDP,NL,-0.5,36,2,4,1,0,0,3,8,0.111,0.2,0.139,0.339,-3,0.169,-9,5,D/H3,gourryu01
560,Korey Lee,26,CHW,AL,0.3,35,10,9,3,0,1,3,7,0.257,0.333,0.429,0.762,112,0.375,145,15,2H/D17,leeko01
